_id,name,province,city,district,phones,month_sales,min_price,delivery_fee_tips,delivery_time,opening_hours,recommend_reasons,updated
630ddd8cb1742fcbf7552a4a,毛家菜馆(沙井上南店),广东省,深圳市,宝安区,13312977848,57,20.0,免配送费,40,周一至周日 10:00-22:00,农家一碗香#农家一碗香#可以好吃,2022-08-30 17:51:08
630ddd92b1742fcbf7552a4b,潮汕小食铺·现炒,广东省,深圳市,宝安区,13427972068,10099,20.0,配送¥1.2,40,周一至周日 11:30-23:55,"糖醋罗非鱼配米饭#,好吃",2022-08-30 17:51:14
630ddd98b1742fcbf7552a4c,香港正宗烧腊店(上南店),广东省,深圳市,宝安区,13026631225;15323444453,70099,18.0,免配送费,40,周一至周日 10:00-20:50,给招牌白切鸡饭一百昏！,2022-08-30 17:51:20
630ddd9fb1742fcbf7552a4d,真功夫（沙井上南新店）,广东省,深圳市,宝安区,0755-82359191,50099,20.0,配送¥5,36,周一至周日 07:35-22:00,"好吃,分量很足,非常好吃,包装仔细",2022-08-30 17:51:27
630ddda5b1742fcbf7552a4e,隆江猪脚饭-原味汤粉王,广东省,深圳市,宝安区,13642206662;13544291938,20099,20.0,配送¥1,40,周一至周日 11:00-22:00,"饭、菜量足够,味道不错",2022-08-30 17:51:33
630dddadb1742fcbf7552a4f,湘赣人家木桶饭(白龙总店),广东省,深圳市,宝安区,13266826682,1,25.0,免配送费,40,周一至周日 10:00-22:00,点了很多次，很好吃,2022-08-30 17:51:41
630dddb4b1742fcbf7552a50,陈记鸡扒饭(上南店),广东省,深圳市,宝安区,15361414729;15361084854,10099,20.0,配送¥1.7,40,周一至周日 10:30-14:00，17:10-次日00:10,"菜品丰富,实惠",2022-08-30 17:51:48
630dddbbb1742fcbf7552a51,美味炸串·炒粉·花甲粉·烤生蚝(沙井上寮店),广东省,深圳市,宝安区,13620212869,55,23.0,配送¥0.2,40,周一至周日 18:30-次日02:30,"味道很好,份量也很足",2022-08-30 17:51:55
630dddc1b1742fcbf7552a52,好滋味手撕鸡餐厅,广东省,深圳市,宝安区,17376752373,200099,0.0,免配送费,40,周一至周日 10:00-次日01:00,"肉肉真多,味道超赞,连续吃了几天咯",2022-08-30 17:52:01
630dddc6b1742fcbf7552a53,五谷渔粉(上南大街店),广东省,深圳市,宝安区,18823187303,60099,15.0,免配送费,40,周一至周日 09:50-次日00:00,"味道好,性价比高",2022-08-30 17:52:06
630dddccb1742fcbf7552a54,永和中式快餐(黄埔分店),广东省,深圳市,宝安区,17689924565,48,20.0,配送¥1.2,40,周一至周日 10:30-14:00，17:00-21:00,"味道不错,份量也好多,很nice",2022-08-30 17:52:12
630dddd2b1742fcbf7552a55,湘当爱·筷乐湘宴(沙井上南店),广东省,深圳市,宝安区,13266570493,81,20.0,免配送费,40,周一至周日 10:30-21:30,给家常丝瓜一百昏！,2022-08-30 17:52:18
630dddd9b1742fcbf7552a56,正宗隆江猪脚饭(黄埔店),广东省,深圳市,宝安区,13554939090,94,20.0,免配送费,40,周一至周日 10:25-22:40,太喜欢了，菜品美味至极！,2022-08-30 17:52:25
