province,city,district,name,score,comment_number,month_sales,avg_price,category,delivery_time,delivery_tip,delivery_type,in_time_delivery_percent,min_price,shipping_fee,lat,lng,hours,buz_code
河北省,保定市,安新县,吉祥果园·水果干果超市,0.0,4,月售3,,超市便利,30分钟,,1,0,起送 ¥30,配送 ¥1.9,38.921361,115.932255,09:00-21:00,1
河北省,石家庄市,裕华区,提拉米酥TILAM&SUM（雅翠居店）,0.0,0,月售1,人均 ¥50,美食,31分钟,由美团快送提供配送服务,0,0,起送 ¥30,免配送费,37.996556,114.544155,08:00-22:00,0
河南省,周口市,太康县,大茶沏,0.0,5,月售7,人均 ¥14,美食,30分钟,由商家提供配送服务,0,0,起送 ¥30,配送 ¥6,34.080477,114.870511,"00:00-01:59,06:00-23:59",0
河南省,驻马店市,遂平县,老厨锅居鹅锅,0.0,15,月售15,,美食 农家菜/家常菜,50分钟,,1,,起送 ¥30,配送 ¥1,33.153613,114.009613,"10:00-14:00,16:30-23:00",0
湖南省,株洲市,天元区,张新发（多米新街店）,0.0,5,月售3,,超市便利,60分钟,,1,0,起送 ¥30,夜间配送 ¥5,27.832743,113.118866,09:00-22:00,1
江苏省,宿迁市,宿城区,妈妈的味道,4.8,35,月售100+,,美食 其他地方菜,50分钟,由商家提供配送服务,0,22,起送 ¥30,配送 ¥2,33.893606,118.271773,09:40-21:30,0
江苏省,淮安市,涟水县,阿光烧烤,0.0,10,月售2,,美食 烧烤,49分钟,由商家提供配送服务,0,0,起送 ¥30,免配送费,33.881184,119.125849,15:01-23:59,0
江苏省,镇江市,丹徒区,食捷功倍食材超市（谏壁店）,0.0,15,月售4,,生鲜果蔬,44分钟,,1,100,起送 ¥30,配送 ¥3,32.167673,119.574365,09:00-21:00,1
江苏省,苏州市,昆山市,时代联华超市,0.0,257,月售1,,超市便利,36分钟,由美团快送提供配送服务,0,0,起送 ¥30,配送 ¥1.5,31.365009,120.976257,"00:00-00:35,07:15-23:59",1
江西省,南昌市,青山湖区,锅圈食汇火锅烧烤食材超市（顺外路店）,0.0,29,月售89,,超市便利,30分钟,,1,0,起送 ¥30,夜间配送 ¥5,28.662676,115.933736,09:00-23:59,1
辽宁省,大连市,旅顺口区,谷古时光甜品,0.0,3,月售12,人均 ¥77,甜点饮品,44分钟,由 美团跑腿 提供送餐服务,0,0,起送 ¥30,免配送费,38.82113,121.27983,08:00-19:00,0
辽宁省,丹东市,元宝区,小板凳烤皮（烤皮，烤肉）,4.6,204,月售130,,美食 烧烤,47分钟,由商家提供配送服务,0,9,起送 ¥30,配送 ¥0.5,40.13878,124.39495,22:00-23:30,0
四川省,德阳市,旌阳区,永兴烤鱼,4.4,111,月售200,人均 ¥63,美食 烤鱼,33分钟,,1,70,起送 ¥30,免配送费,31.147227,104.394398,10:30-23:59,0
西藏自治区,昌都市,卡若区,霹雳火烧烤•小龙虾•江湖菜（昌都店）,4.8,2319,月售2778,人均 ¥40,美食 烧烤,30分钟,由商家提供配送服务,0,97,起送 ¥30,免配送费,31.134628,97.178766,"00:00-04:00,16:00-23:59",0
云南省,昆明市,官渡区,鑫联爱宠之家,0.0,2,月售100+,,超市便利,45分钟,,0,,起送 ¥30,配送 ¥3,24.919037,102.74881,09:00-23:30,1
浙江省,湖州市,吴兴区,罗森（5708湖州红旗路店）,0.0,15,月售34,,超市便利,30分钟,,1,0,起送 ¥30,配送 ¥5,30.865101,120.094548,08:00-20:00,1
浙江省,杭州市,江干区,锅圈食汇火锅烧烤食材超市（翁乔路店）,0.0,3,月售50,,生鲜果蔬,30分钟,,1,,起送 ¥30,配送 ¥4,30.259786,120.187735,09:00-21:00,1
广东省,广州市,越秀区,大龙燚•火锅冒菜（三元里店）,4.7,4828,月售4689,人均 ¥28,美食 冒菜,40分钟,,1,79,起送 ¥35,免配送费,23.15518,113.260317,10:00-22:00,0
上海市,上海市,长宁区,晨光文具（康定路店）,0.0,5,月售100+,,超市便利,44分钟,由美团快送提供配送服务,0,,起送 ¥35,配送 ¥6,31.200757,121.34006,09:15-17:45,1
四川省,成都市,锦江区,鲍师傅糕点（春熙路店）,4.8,1469,月售3000+,人均 ¥66,甜点饮品,32分钟,,1,47,起送 ¥35,配送 ¥2.6,30.65609,104.073689,09:30-23:00,0
云南省,昆明市,西山区,思茅老二中鸡脚（大润发店）,0.0,1555,月售0,人均 ¥54,美食 卤味熟食,40分钟,,0,,起送 ¥35,夜间配送 ¥7,25.034726,102.643032,11:00-21:30,0
湖北省,荆州市,沙市区,GANSO元祖蛋糕（荆州店）,4.9,100,月售100+,人均 ¥192,甜蜜蛋糕,50分钟,由商家提供配送服务,0,100,起送 ¥38,免配送费,30.303284,112.268171,08:00-20:30,1
四川省,乐山市,市中区,烤鱼跳龙门.烤鱼.龙虾.干锅,4.1,399,月售654,人均 ¥41,美食 烤鱼,42分钟,由商家提供配送服务,0,25,起送 ¥38,配送 ¥2,29.622385,103.740312,"00:00-02:39,14:00-23:59",0
福建省,福州市,仓山区,森林花语,0.0,19,月售7,,浪漫鲜花,125分钟,由 美团跑腿 提供送餐服务,0,0,起送 ¥39,免配送费,26.05711,119.261956,08:00-22:00,1
广东省,湛江市,赤坎区,焱小二·小龙虾·烧烤·海鲜·百姓村店,4.8,189,月售112,,美食 小龙虾,45分钟,由商家提供配送服务,0,100,起送 ¥39,免配送费,21.263289,110.370808,"00:00-02:00,17:00-23:59",0
广东省,东莞市,塘厦镇,悠虾里·花胶鸡·牛杂煲,0.0,2,月售14,,美食 湘菜,55分钟,,0,,起送 ¥39,配送 ¥4.5,22.8068,114.08333,"00:00-03:00,17:00-23:59",0
山东省,德州市,德城区,佳果汇水果超市,0.0,509,月售16,,生鲜果蔬,40分钟,,0,,起送 ¥39.9,配送 ¥6,37.454898,116.301528,08:00-22:00,1
广东省,广州市,荔湾区,Vini维尼CAKE蛋糕（广州店）,5.0,26,月售9,人均 ¥122,甜蜜蛋糕,44分钟,由 美团跑腿 提供送餐服务,0,0,起送 ¥4,免配送费,23.14538,113.24611,08:00-21:30,0
江苏省,南通市,如皋市,巴十克（何庄店）,4.8,129,月售100+,,美食 汉堡,44分钟,由商家提供配送服务,0,0,起送 ¥40,免配送费,32.361043,120.477999,09:30-21:00,0
江西省,南昌市,东湖区,宠颐生动物医院·宠物用品（叠山路）,4.6,74,月售17,,超市便利,65分钟,由 美团跑腿 提供送餐服务,0,0,起送 ¥40,配送 ¥97,28.684562,115.89063,09:00-21:00,1
浙江省,台州市,临海市,亮仔宝贝(临海耀达大洋店),0.0,17,月售1,,超市便利,44分钟,由 商家 提供配送服务,0,,起送 ¥40,配送 ¥4,28.863449,121.153306,08:00-21:00,1
广东省,中山市,东区街道,孩子王（中山天奕星河店）,0.0,3,月售7,,超市便利,50分钟,,1,0,起送 ¥49,配送 ¥4,22.5195,113.420439,10:00-21:00,1
河北省,石家庄市,平山县,说曹操（三国烤肉拌饭）,4.4,86,月售100+,人均 ¥9,美食 烤肉拌饭,39分钟,,1,94,起送 ¥5,配送 ¥1.5,38.248065,114.193083,09:00-21:00,0
黑龙江省,绥化市,北林区,麦可馨蛋糕烘焙坊,0.0,2,月售1,人均 ¥113,甜蜜蛋糕,44分钟,由商家提供配送服务,0,0,起送 ¥5,免配送费,46.643745,126.996018,07:00-21:00,0
江西省,吉安市,吉州区,彭记私房菜（恒大帝景店）,0.0,50,月售72,,美食 江西菜,45分钟,,1,0,起送 ¥5,配送 ¥5,27.093858,114.970466,00:00-23:59,0
江西省,抚州市,金溪县,卤小仙热卤现捞,4.7,141,月售529,人均 ¥13,美食 卤味类小吃,31分钟,,1,0,起送 ¥5,配送 ¥0.5,27.910966,116.76167,07:00-23:59,0
云南省,普洱市,思茅区,大维饮品（茶苑路店）,5.0,153,月售89,人均 ¥13,美食,30分钟,,1,100,起送 ¥5,配送 ¥4,22.761808,100.995316,09:30-21:30,0
安徽省,阜阳市,颍州区,粥之道【小炒盖浇饭】,4.0,685,月售1766,人均 ¥24,美食 粥店,75分钟,,0,,起送 ¥50,配送 ¥10.5,32.868367,115.856142,"00:00-04:30,07:00-23:59",0
甘肃省,兰州市,皋兰县,杨俊青副食品,0.0,0,月售0,,超市便利,75分钟,由 美团跑腿 提供配送服务,0,0,起送 ¥50,配送 ¥5,36.053118,103.875779,10:00-17:00,1
河北省,唐山市,路北区,安踏儿童(唐山北新道八方购物店),0.0,0,月售0,,超市便利,75分钟,,0,,起送 ¥50,配送 ¥4,39.685949,118.188371,10:00-20:00,1
河南省,开封市,龙亭区,古鼎汇火锅烧烤食材（欧洲小镇店）,0.0,0,月售1,,美食,36分钟,,1,0,起送 ¥50,夜间配送 ¥5.5,34.820561,114.255541,10:00-21:00,1
江苏省,南京市,玄武区,金牌烤鸭饭（直达林大宿舍楼下）,4.9,130,月售155,,美食 其他饭类套餐,40分钟,由 商家 提供配送服务,0,81,起送 ¥50,配送 ¥5,32.068816,118.819775,"09:00-13:45,15:40-20:30",0
山东省,淄博市,淄川区,喜庆馨怡花房,0.0,9,月售1,,浪漫鲜花,60分钟,由商家提供配送服务,0,0,起送 ¥50,免配送费,36.624335,117.994267,00:00-23:59,1
上海市,上海市,崇明区,王氏蟹庄崇明清水蟹,0.0,5,月售0,,生鲜果蔬,85分钟,由商家提供配送服务,0,0,起送 ¥50,配送 ¥50,31.632427,121.402219,07:00-21:00,1
浙江省,绍兴市,新昌县,门木工穴,0.0,2,月售6,,美食 其他西餐,20分钟,由商家提供配送服务,0,0,起送 ¥50,配送 ¥5,29.364361,120.781217,10:00-22:30,0
浙江省,丽水市,莲都区,四季知了,4.9,134,月售381,,美食 本帮江浙菜,38分钟,由商家提供配送服务,0,0,起送 ¥50,免配送费,28.459338,119.926294,09:30-23:59,0
甘肃省,兰州市,安宁区,屈臣氏（中海寰宇城店）,0.0,13,月售85,,超市便利,30分钟,,1,0,起送 ¥500,配送 ¥5.5,36.112101,103.689992,10:30-20:30,1
河南省,信阳市,浉河区,信阳酒到家,0.0,10,月售32,,超市便利,40分钟,,0,,起送 ¥59,免配送费,32.125374,114.067862,09:00-19:00,1
河南省,信阳市,平桥区,信阳小龙虾,5.0,331,月售0,人均 ¥78,美食 小龙虾,75分钟,,0,,起送 ¥60,配送 ¥12,32.045005,114.109043,10:00-21:00,0
福建省,漳州市,龙海区,虾师弟,0.0,67,月售19,,美食 小龙虾,40分钟,由商家提供配送服务,0,0,起送 ¥68,免配送费,24.41431,117.843174,10:00-23:00,0
