179,湖南大碗川菜(南岭路店),暂无评分
180,赣客餐饮店,5
181,韦记柳州螺蛳粉,5
182,湘川湘菜馆,4
183,客家缘餐厅,4
184,易小厨·辣椒炒肉(沙井上星店),4.5
185,壹只卤鹅-潮汕菜(形色城店),4.9
186,麦兴茶餐厅,4
187,一品湘木桶饭(上星步行街店),4.5
188,周黑鸭（深圳沙井天虹商场店）,4.7
189,赣湘人家(庄村店),1
190,鱼你在一起(深圳形色城店),4.1
191,湘川小炒,5
192,湘川大碗菜(上星店),4.6
193,阿杏饭团(上星店),4.8
194,蒙自源米线(沙井形色城店),4.5
195,代代小厨木桶饭,暂无评分
196,温记潮味牛肉.粿条.粉面,暂无评分
197,肥佬烧鹅,4.4
198,食忆炸串,暂无评分
199,XILETEA喜乐茶·奶茶·小吃·咖啡,4.8
200,喜姐炸串(宝安万科新城店),4.5
201,首尔韩式炸鸡(沙井店),4.6
202,Bigbear韩国炸鸡(深圳星北店),4.8
203,黄记排骨,4.6
204,贡茶(庄村中心店),暂无评分
205,饮时前线.咖啡.果茶.小吃(沙井万丰中心路店),暂无评分
206,爪檬主·柠檬鸡爪(沙井店),5
207,YATOO！鸭途(沙井店),5
208,福鸡来临脆皮烧鸡,4.5
209,砂锅猪杂汤粉(黄埔店),4.7
210,原味柳州螺蛳粉(红巷店),4.6
211,原味汤粉王|正宗隆江猪脚饭(黄埔店),暂无评分
212,成都丫舌冒·冒菜,4
213,重庆炸酱面·酸辣粉,4.2
214,四川麻辣烫,5
215,川湘味火锅冒菜（新桥店),4.5
216,螺一绝柳州螺蛳粉,暂无评分
217,贵州小吃(新桥店),4
218,好运麻辣烫,5
219,乐百味螺蛳粉,暂无评分
220,老牌子柳州螺蛳粉(沙井品质店),3.4
221,季季红麻辣烫(上星店),暂无评分
222,三十卤·卤粉·卤饭·卤猪蹄(万科名邸店),4.8
223,灵渠桂林米粉(上星店),5
224,传奇冒菜.麻辣烫.火锅.毛血旺(老天虹店),4.3
225,三鲜渔粉,暂无评分
226,杭州小笼包,5
227,宋记麻辣烫,1
228,有螺蛳·好吃得卵跌螺蛳粉(沙井中心店),4.8
229,小湘居·湘式热卤(形色城店),4.5
230,贵州羊肉粉(庄村店),4.3
231,恐龙螺蛳粉（沙井店）,4.5
232,闽南特色小吃(沙井店),暂无评分
233,广食新味·螺蛳粉·快餐(上星店),4.9
234,云锦麻辣烫(新桥店),3.6
235,柳香源柳州螺蛳粉,暂无评分
236,早点湘遇,暂无评分
237,包掌柜(上寮店),5
238,晨鲜生小油条胡辣汤水煎包,5
239,河南高炉烧饼.胡辣汤.水煎包,4.2
240,三津汤包(上南大街一号店),4.5
241,海鲜粥(上南店),4.6
242,咸骨粥爽滑饺子王(上南和盛园店),5
243,大掌柜凉皮肉夹馍.焖面胡辣汤(新桥店),4.4
244,东北手工饺子（新二店）,4.7
245,汉记咸骨粥饺子王,暂无评分
246,兴粮品汤包店,5
247,云汤记·沙县小吃(万科星城店),3.4
248,永和大王·现磨豆浆·卤肉饭(万科星城SZ095店),4.9
249,新怡甜品咸骨粥爽滑饺子王,暂无评分
250,熊大爷现包饺子(万科星城店),4.8
251,好粥道餐厅,暂无评分
252,古老东方(万科星城店),5
253,如意肠粉王·快餐·煲仔饭·茶点(沙井店),4.1
254,曹记潮州砂锅粥小龙虾,5
255,粗粮汤包(宝安店),4.5
256,袁记云饺(名豪丽城店),4.4
257,阿甘锅盔(形色城店),4.4
258,西安小吃,4
259,三津汤包(沙井一店),4.8
260,裕丰鲜汤包,4
261,电白鸭粥店(沙井中心区店),4.5
262,四川面馆(沙井分店),5
263,第9味老上海馄饨王(洪田店),4.4
264,关东人烧烤饺子小菜馆,4.4
265,大家来找茶·奶茶·小吃(沙井店),4.7
266,福义旺东北水饺(万丰店),4
267,土家香酱饼(仁爱路店),5
268,云汤记·鲜虾云吞·水饺(沙井店),4.7
269,东北水饺(万丰中路店),暂无评分
270,正宗武汉热干面,4
271,李记梅州腌面馆(黄埔市场店),暂无评分
272,热干炸酱面馆,暂无评分
273,重庆小面专家(沙井中心店),暂无评分
274,重庆小面,2.4
275,兰州拉面,4.7
276,邹小面·炸酱拌面是一绝(上星店),3
277,兰州拉面(南岭一店),暂无评分
278,中国兰州拉面(上星商业街店),4.2
279,重庆炸酱面,4.4
280,一品拉面(沙井店),暂无评分
281,中国兰州拉面,暂无评分
282,潮汕手工面.中式快餐(新二店),1
283,重庆炸酱面(沙井店),暂无评分
284,重庆面馆·牛肉面·干拌面(上星店),3.4
285,兰州拉面(新发店),4.2
286,面子捞,4.5
287,襄阳特色牛肉面(万丰店),3.9
288,陕西手工面,暂无评分
289,西北牛肉面(上南店),暂无评分
290,湖南常德津市牛肉粉(南浦路店),暂无评分
291,重庆酸辣粉炸酱面,4.3
292,老陈记(湾景商务店),4.4
293,兰州拉面,暂无评分
294,老麻抄手重庆小面,4.5
295,道味炸酱面(万丰店),4.2
296,老家蒸面·胡辣汤(沙井店),4.5
297,中国精品牛肉拉面（中心路店）,暂无评分
298,香达达美食店·杂酱面·热干面(新和店),暂无评分
299,孺子牛杂(上南店),4.2
300,阿遇烤五花肉·烧烤(上南大街店),5
301,味多多麻辣烫,4.8
302,平记客家卤味肠粉,3
303,梅汕卤味快餐店.脆皮手撕鸡(黄埔店),4.3
304,北京啤酒烤鸭(黄埔店),1
305,荣致瓦罐烤鸡小龙虾,暂无评分
306,海岸村.韩国料理店(万科星城店),4.3
307,丰顺捆粄(上星店),3
308,阿甘锅盔(星城名邸店),暂无评分
309,潮汕卤鹅快餐店(新桥店),5
310,王守如麻辣烫(沙井店),4.3
311,君姐·石磨肠粉·原味汤粉,4.9
312,茂名胜记石磨肠粉·生滚粥(上星店),4.8
313,海睿陕西手工凉皮,5
314,台湾芒果冰(万丰中心路店),暂无评分
315,粒中皇(沙井店),暂无评分
316,潮记花甲粉,4.3
317,东洲卷粿,5
318,小糖朝·甜品·小吃·水果捞(沙井店),4.5
319,骨汤鲜麻辣烫,暂无评分
320,大满灌章鱼烧.烤冷面,5
321,螺阿玛柳州螺蛳粉(万丰店),5
322,香辣小龙虾·跳跳蛙,5
323,正宗坛子鸡,3.7
324,三哥煎饼果子·烤冷面·手抓饼,4.9
325,七公烤肉烤鸡,4.8
326,进胜烧烤,暂无评分
327,肥仔烧烤(上南大街店),4.5
328,云烧烤·炭烤新鲜羊肉.新鲜生蚝,1.5
329,一起来窑鸡·烤红薯(沙井传奇店),4.4
330,壹哥烧烤(沙井总店),4.1
331,湖北仙桃人家,暂无评分
332,烤之乡烧烤店,暂无评分
333,徐生记重庆烧烤,暂无评分
334,胖虎烧烤吧,暂无评分
335,上寮南门烧烤,4
336,豪仔小吃.小龙虾,暂无评分
337,回味窑鸡,4.1
338,天台星空休闲清吧(沙井店),4
339,兄弟烧烤.生蚝.小龙虾(沙井总店),暂无评分
340,渔岸码头·烤鱼·小龙虾·烧烤(上星店),3.3
341,蟹之霸·阳澄湖大闸蟹小龙虾(沙井店),暂无评分
342,天天烧烤吧(庄村店),4.4
343,六和记·脆皮烧鸡,暂无评分
344,愿者上钩(沙井店),4.7
345,蠔宅烧烤(上星店),3.9
346,吃了么香辣小龙虾大闸蟹(小胡同万丰店),5
347,小胡同卤味·小龙虾·大闸蟹(沙井天虹店),5
348,香辣小龙虾·大闸蟹（沙井店）,4.5
349,潜江一品小龙虾(新桥店),暂无评分
350,两广特色烧烤(沙井中心店),暂无评分
351,七天烧烤,3
352,蚝皇烧烤·空中花园,3.6
353,泊居东北烧烤.家常菜,暂无评分
354,香辣小龙虾(万丰店),5
355,一极鲜挪威三文鱼,暂无评分
356,海川创作寿司(形色城店),4.6
357,高古丽烤肉店（万丰店）,3.7
358,金子家美食铺.韩国料理,4
359,神户屋日本料理(新桥北环店),暂无评分
360,寿司鲜生·拉面简餐(沙井店),4.7
361,金贤家部队火锅·石锅拌饭,4.5
362,柴九肥牛·手撕鸡·卤肉(沙井店),4.7
363,深蓝三文鱼(沙井店),3.9
364,RC韩国拌饭.韩国料理,4.7
365,海王·三文鱼(沙井店),5
366,缘禾米日寿司拉面盖饭(沙井店),4.5
367,居肉町·日式烧肉饭(沙井店),4.6
368,星念烤肉(沙井店),5
369,鲜时代三文鱼日料寿司,5
370,千缘寿司(新沙天虹店),4.5
371,海宝挪威三文鱼(桥头店),4.6
372,有渡三文鱼,暂无评分
373,海川创作料理寿司(福永店),5
374,佐昀居日式料理寿司刺身,5
375,四海挪威三文鱼寿司(福永店),4.2
376,吉野家(深圳光明大仟里店),4.3
377,泰实水产,暂无评分
378,和风卷寿司.刺身.简餐(公明店),5
379,鲸海寿司·三文鱼(光明1号店),4.5
380,仙隐小鹿中华の日料(光明蓝鲸世界店),4.6
381,一起点火锅烤肉(长安店),1
382,万岁寿司（长安万达店）,5
383,合五寿司轻食小吃(石岩店),3.9
384,町上居酒屋(新地中央店),5
385,雅日本料理炭火烧肉,暂无评分
386,吉野家(深圳一乐会店),4.9
387,柠檬队长韩国炸鸡(宝安区店),4.8
388,京都里日式料理(宝安店),暂无评分
389,西九条寿司(虎门店),5
390,有炙气·炙烧日料(宝安贰店),4.1
391,九福町日本料理,1.8
392,歌志轩·名古屋拉面(宝安海雅店),4.7
393,豪客来牛排·牛肉饭·意面(沙井形色城店),4.8
394,法牧牛排咖啡上岛集团(洪田店),暂无评分
395,惠都和牛·原切牛排,3.7
396,山姆星选芝士牛肉卷(三杯路店),4.8
397,六十六道泰国菜·咖喱虾蟹·冬阴功(深圳海岸中心店),5
398,至尊比萨(沙井万科翡丽郡店),4.8
399,拾号牛扒(沙井店),4.6
400,沙哇低咔·轻食沙拉(沙井店),3.9
401,丛林西餐厅(松岗店),4.3
402,丸子姐姐披萨西餐厅(福永店),暂无评分
403,爵士牛排·意面·西餐厅,4.5
404,街头牛排(公明分店),5
405,如刚街头牛排(石岩店),4.4
406,韩味馆(新安店),5
407,拾号牛扒(石岩店),4.4
408,元亨牛排,暂无评分
409,原石牛扒(宝安大仟里店),4.5
410,冬阴功泰国菜(宝安店),3.6
411,Champions 格鲁吉亚餐厅,暂无评分
412,泰浦亭·特色鸡煲店(新桥广芳店),暂无评分
413,拾号牛扒(海雅缤纷城店),4.4
414,澳门芝士焗扒茶餐厅,5
415,拾号牛扒(壹方城店),4.8
416,万州烤鱼·小龙虾·跳跳蛙,4
417,潮汕桐坑牛肉店,5
418,四季鱼旺石锅鱼烤活鱼,4
419,老四川.烤鱼.小龙虾.猪肚鸡.石锅鱼,5
420,一哥砂锅牛杂,5
421,十里鸡公煲(沙井新桥店),4.4
422,愿者上钩纸包鱼·烤鱼烧烤(新二村店),4.5
423,普宁鲜牛肉店(上星店),暂无评分
424,汕头牛肉店(上星店),暂无评分
425,特色烧烤·烤活鱼·小龙虾(商业街店),4
426,蜀八婆鲍鱼鸡煲虾(上星店),5
427,愿者上钩纸包鱼·烤鱼烧烤(上星店),3.5
428,秘霸.肥肠鸡.牛蛙(沙井店),4.6
429,川霸天下老火锅(新桥店),暂无评分
430,邵陵石锅鱼店,暂无评分
431,重庆鸡公煲.湘菜小炒(沙井万丰店),3.5
432,曾记夜宵城.烤鱼.猪肚鸡.砂锅粥,暂无评分
433,八合里牛肉火锅(沙井新桥店),4.6
434,头头食道鸭脑壳（沙井店）,4.5
435,焦三爷麻辣烫麻辣香锅,5
436,邹记甜品·煲仔粥·炒粉(万丰店),1
437,老丈母娘·啫啫鸡煲(沙井店),4.1
438,重庆纸上烤鱼,5
439,鑫记丰顺捆粄新鲜牛肉火锅,4.4
440,蜀国奇雄美食坊·冒菜,2.1
441,杭州小笼包,4.6
442,老四川美食馆(凤凰店),5
443,1号海鲜粥铺,4.8
444,川香麻辣香锅(沙井店),4.6
445,陈记麻辣香锅(沙井店),4.8
446,霸蛮龙虾(沙井店),3.3
447,米二爷肥肠鸡饭(沙井地铁站店),4.6
448,老滋味.清远脆皮鸡.小龙虾.甲鱼煲,暂无评分
449,川湘鱼小爱酸菜鱼米饭(沙井分店),4
450,脆皮飄香鴨(上南店),4.3
451,窑鸡王（沙井天虹店）,4.8
452,荔园窑鸡(沙井新桥店),4.3
453,良哥梅县盐焗鸡(沙井店),5
454,古道窑鸡.酒料,4.5
455,绝味鸭脖（上星步行街店）,4.5
456,煌上煌酱鸭(宝安区上星店),3.7
