小龙虾/其他小吃,322
其他小吃,323
煎饼/其他小吃,324
其他小吃,325
烧烤,326
烧烤,327
烧烤,328
烧烤,329
烧烤,330
烧烤,331
烧烤,332
烧烤,333
烧烤,334
烧烤,335
小龙虾,336
卤味熟食/小龙虾,337
烧烤,338
烧烤,339
小龙虾/烧烤,340
小龙虾,341
烧烤,342
烧烤,343
烤鱼/烧烤,344
烧烤,345
小龙虾/卤味熟食,346
小龙虾,347
小龙虾/海鲜,348
小龙虾,349
烧烤,350
烧烤,351
烧烤,352
烧烤/东北菜,353
小龙虾,354
日本料理,355
刺身寿司/日本料理,356
韩式烤肉,357
韩国料理/烤肉拌饭,358
日本料理,359
日本料理/刺身寿司,360
烤肉拌饭/韩国料理,361
日式简餐/其他快餐,362
刺身寿司,363
韩国料理/韩式烤肉,364
日本料理,365
日式简餐/刺身寿司,366
盖浇饭/日式简餐,367
韩式烤肉,368
日式简餐/刺身寿司,369
刺身寿司,370
日本料理,371
日本料理,372
刺身寿司/日式简餐,373
日本料理/刺身寿司,374
刺身寿司/日本料理,375
日式简餐/盖浇饭,376
刺身寿司/日本料理,377
日式简餐/日本料理,378
刺身寿司/日本料理,379
日本料理/日式简餐,380
小火锅/韩式烤肉,381
日本料理/其他西餐,382
日本料理/日式简餐,383
日本料理/刺身寿司,384
日本料理,385
日式简餐/其他快餐,386
炸鸡炸串/韩国料理,387
日式简餐/刺身寿司,388
日本料理,389
刺身寿司/日本料理,390
日本料理,391
日式简餐/面馆,392
牛排/其他快餐,393
牛排/咖啡,394
牛排,395
其他西餐/烧饼/馅饼/手抓饼,396
中亚/中东菜,397
披萨意面/其他西餐,398
牛排/其他西餐,399
沙拉/轻食/其他西餐,400
其他快餐/其他西餐,401
披萨意面/其他西餐,402
牛排,403
牛排,404
其他西餐,405
其他快餐/其他西餐,406
牛排/其他西餐,407
牛排,408
其他西餐/其他快餐,409
泰国菜/盖浇饭,410
其他西餐,411
焖锅/泰国菜,412
牛排,413
焗饭,414
牛排/其他西餐,415
铜锅涮肉,416
铜锅涮肉/牛肉火锅,417
烤鱼,418
烤鱼,419
砂锅,420
鸡公煲,421
烤鱼/烤鱼,422
牛肉火锅,423
牛肉火锅/其他快餐,424
烧烤/烤鱼,425
其他火锅,426
烤鱼/鱼火锅,427
川湘菜/焖锅,428
川渝火锅/干锅,429
鱼火锅,430
鸡公煲/川湘菜,431
烤鱼,432
牛肉火锅,433
川湘菜/其他火锅,434
麻辣香锅,435
甜品/砂锅,436
鸡公煲/盖浇饭,437
烤鱼,438
牛肉火锅,439
其他火锅/川湘菜,440
包子汤包/砂锅,441
鱼火锅/川湘菜,442
潮汕砂锅粥/砂锅,443
麻辣香锅,444
麻辣香锅/其他快餐,445
小龙虾/川渝火锅,446
其他快餐/干锅,447
小龙虾/烤鱼,448
鱼火锅,449
卤味熟食,450
卤味熟食,451
卤味熟食,452
卤味熟食,453
卤味熟食,454
卤味熟食,455
卤味熟食,456
卤味熟食/盖浇饭,457
卤味熟食,458
卤味熟食,459
卤味熟食/卤味熟食,460
卤味熟食,461
卤味熟食,462
烧腊饭/卤味熟食,463
卤味熟食,464
卤味熟食,465
卤味熟食,466
卤味熟食,467
卤味熟食,468
卤味熟食,469
卤味熟食,470
卤味熟食,471
卤味熟食,472
卤味熟食,473
卤味熟食,474
卤味熟食,475
卤味熟食/面馆,476
米粉米线/卤味熟食,477
卤味熟食/滋补炖汤,478
卤味熟食,479
粉丝汤,480
牛肉汤,481
粤菜/蒸鸡滋补鸡,482
牛肉汤,483
蒸鸡滋补鸡,484
滋补炖汤/粤菜,485
粉丝汤,486
米粉米线/羊肉汤,487
滋补炖汤,488
蒸鸡滋补鸡,489
瓦罐汤/滋补炖汤,490
牛肉汤/煎饼,491
牛肉火锅/牛肉汤,492
蒸鸡滋补鸡/其他小吃,493
蒸鸡滋补鸡,494
面馆/牛肉汤,495
粤菜/滋补炖汤,496
滋补炖汤,497
包子汤包/滋补炖汤,498
滋补炖汤,499
羊肉汤,500
米粉米线/滋补炖汤,501
牛肉汤,502
卤味熟食/蒸鸡滋补鸡,503
滋补炖汤,504
滋补炖汤,505
烧腊饭/滋补炖汤,506
奶茶果汁/其他甜品饮品,507
中西糕点,508
甜品,509
蛋糕,510
蛋糕/面包,511
甜品,512
其他甜品饮品,513
甜品,514
蛋糕/甜品,515
其他甜品饮品,516
蛋糕,517
蛋糕/面包,518
蛋糕/面包,519
其他甜品饮品,520
中西糕点,521
面包/蛋糕,522
蛋糕/面包,523
咖啡/其他甜品饮品,524
面包/甜品,525
奶茶果汁/咖啡,526
奶茶果汁/其他甜品饮品,527
沙拉/轻食/披萨意面,528
沙拉/轻食,529
沙拉/轻食,530
沙拉/轻食,531
奶茶果汁/沙拉/轻食,532
米粉米线/盖浇饭,533
披萨意面/汉堡薯条,534
面包,535
奶茶果汁,536
炸鸡炸串/烧烤,537
川湘菜,538
意大利菜,539
面馆/其他小吃,540
咖啡/其他西餐,541
奶茶果汁/面包,542
港菜/茶餐厅/奶茶果汁,543
沙拉/轻食/其他西餐,544
烧烤,545
奶茶果汁/面包,546
麻辣烫/关东煮/东北菜,547
奶茶果汁/炸鸡炸串,548
面馆,549
饺子/面馆,550
沙拉/轻食,551
奶茶果汁/其他小吃,552
饺子/包子汤包,553
奶茶果汁,554
汉堡薯条/炸鸡炸串,555
烧烤/小龙虾,556
披萨意面,557
其他快餐,558
米粉米线,559
其他快餐,560
卤味熟食,561
木桶饭,562
胡辣汤,563
其他快餐,564
汉堡薯条/炸鸡炸串,565
卤味熟食/其他快餐,566
海鲜,567
川湘菜/其他快餐,568
中西糕点,569
豆浆油条/其他快餐,570
烧腊饭/其他快餐,571
烧烤/小龙虾,572
煲仔饭/木桶饭,573
米粉米线/牛肉火锅,574
米粉米线/酸辣粉,575
鸡架/炸鸡炸串,576
烧烤,577
川湘菜,578
其他快餐,579
烧烤,580
刺身寿司/日本料理,581
其他快餐,582
烧烤,583
蒸鸡滋补鸡/滋补炖汤,584
海鲜,585
焗饭/披萨意面,586
其他快餐,587
饺子,588
盖浇饭/川湘菜,589
排骨饭,590
烧烤,591
麻辣烫/关东煮,592
其他快餐,593
其他快餐/冒菜,594
其他菜系,595
卤味熟食,596
烧烤,597
饺子,598
奶茶果汁/其他甜品饮品,599
其他甜品饮品,600
其他快餐/米粉米线,601
日本料理/日式简餐,602
米粉米线,603
面馆,604
其他西餐,605
木桶饭,606
沙拉/轻食,607
米粉米线,608
其他快餐,609
川湘菜,610
沙县小吃/其他快餐,611
煲仔饭/粤菜,612
炒饭,613
牛肉火锅/其他快餐,614
肠粉/烧腊饭,615
粤菜/煲仔饭,616
烧腊饭/粤菜,617
卤味熟食/其他快餐,618
烧腊饭/其他快餐,619
粤菜/炒饭,620
盖浇饭/其他快餐,621
盖浇饭/川湘菜,622
川湘菜/其他快餐,623
其他快餐,624
米粉米线/炒饭,625
脆皮鸡饭,626
川湘菜/盖浇饭,627
盖浇饭/川湘菜,628
烧腊饭,629
脆皮鸡饭,630
脆皮鸡饭,631
其他快餐,632
脆皮鸡饭,633
炒饭,634
滋补炖汤/其他快餐,635
盖浇饭/烧腊饭,636
煲仔饭,637
卤味熟食/其他快餐,638
披萨意面/其他小吃,639
汉堡薯条/炸鸡炸串,640
汉堡薯条/炸鸡炸串,641
炸鸡炸串/汉堡薯条,642
汉堡薯条/炸鸡炸串,643
披萨意面/其他小吃,644
汉堡薯条,645
披萨意面/其他西餐,646
炸鸡炸串/汉堡薯条,647
汉堡薯条/炸鸡炸串,648
汉堡薯条/炸鸡炸串,649
披萨意面/其他小吃,650
汉堡薯条/炸鸡炸串,651
披萨意面/汉堡薯条,652
日式简餐/披萨意面,653
沙拉/轻食/三明治,654
披萨意面/其他小吃,655
沙拉/轻食/其他西餐,656
披萨意面/中西糕点,657
